Hello json,300,1709,1593,3436,3696,4272,261,4362,"23,33%","9,0","2,5"
simple DB,300,1566,1401,3300,3728,4108,132,4414,"27,33%","8,4","2,4"
Multiple DB 5,300,1841,1863,3529,3977,4205,131,4277,"24,67%","7,5","2,9"
Multiple DB 50,300,1903,2008,3685,4035,4243,131,4285,"26,33%","7,0","9,9"
Multiple DB 500,300,2257,2469,4004,4449,4664,131,4832,"28,33%","6,5","73,7"
Fortunes,300,2027,2338,3924,4053,4199,133,4453,"28,33%","6,3","11,6"
Multiple DB update 500,300,2399,2797,4252,4563,4776,132,4978,"43,67%","6,2","56,0"
Multiple DB update 50,300,1937,2030,3602,4041,4260,130,4356,"33,67%","6,2","8,2"
Multiple DB update 5,300,1930,1895,3661,4001,4229,132,4281,"25,67%","6,3","2,4"
TOTAL,2700,1952,2008,3825,4110,4540,130,4978,"29,04%","51,6","151,4"
