Hello json,300,1385,1404,2352,2599,2830,265,3113,"4,67%","9,1","2,4"
simple DB,300,1301,1292,2401,2771,3007,129,3080,"7,00%","8,4","2,3"
Multiple DB 5,300,1408,1449,2581,2779,2996,131,3056,"6,67%","7,9","3,1"
Multiple DB 50,300,1420,1441,2680,2845,2975,131,3134,"10,33%","7,4","12,2"
Multiple DB 500,300,1869,1963,3027,3181,3314,130,3352,"6,33%","7,1","104,6"
Fortunes,300,1585,1667,2715,2876,3062,130,3107,"7,33%","7,0","15,9"
Multiple DB update 500,300,1968,2034,3175,3297,3436,131,3647,"24,67%","6,7","81,2"
Multiple DB update 50,300,1582,1619,2747,2867,3056,130,3140,"15,00%","6,8","10,9"
Multiple DB update 5,300,1548,1586,2741,2864,3047,130,3096,"5,33%","6,8","2,7"
TOTAL,2700,1563,1595,2768,2939,3258,129,3647,"9,70%","58,0","217,1"
