Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Hello json,300,1315,1341,2289,2373,2575,262,2794,"5,33%","9,2","2,5"
simple DB,300,1243,1249,2236,2364,2987,131,3065,"6,67%","8,5","2,3"
Multiple DB 5,300,1341,1362,2311,2748,3002,130,3315,"6,67%","7,9","3,1"
Multiple DB 50,300,1426,1499,2648,2839,3062,130,3368,"7,67%","7,5","12,6"
Multiple DB 500,300,1796,1808,3085,3270,3523,130,3782,"7,67%","7,0","102,5"
Fortunes,300,1600,1671,2680,2923,3207,131,3345,"4,67%","6,9","16,2"
Multiple DB update 500,300,1988,2099,3078,3248,3485,132,3763,"21,00%","6,7","84,9"
Multiple DB update 50,300,1614,1638,2765,2935,3239,130,3450,"15,67%","6,8","10,9"
Multiple DB update 5,300,1498,1494,2676,2852,3268,131,3439,"5,33%","6,8","2,7"
TOTAL,2700,1536,1547,2726,2954,3352,130,3782,"8,96%","58,5","221,8"
