timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,URL,Latency
1443559562225,276,Hello json,200,OK,Azure A1 2-1,text,true,270,3,3,http://azua1.test.itcrowd/json,276
1443559562326,273,Hello json,200,OK,Azure A1 2-2,text,true,270,4,4,http://azua1.test.itcrowd/json,273
1443559562503,151,simple DB,200,OK,Azure A1 2-1,text,true,274,5,5,http://azua1.test.itcrowd/db,151
1443559562430,269,Hello json,200,OK,Azure A1 2-3,text,true,270,5,5,http://azua1.test.itcrowd/json,269
1443559562601,140,simple DB,200,OK,Azure A1 2-2,text,true,274,6,6,http://azua1.test.itcrowd/db,140
1443559562531,268,Hello json,200,OK,Azure A1 2-4,text,true,270,6,6,http://azua1.test.itcrowd/json,268
1443559562655,150,Multiple DB 5,200,OK,Azure A1 2-1,text,true,404,6,6,http://azua1.test.itcrowd/db?queries=5,150
1443559562700,139,simple DB,200,OK,Azure A1 2-3,text,true,273,7,7,http://azua1.test.itcrowd/db,139
1443559562743,142,Multiple DB 5,200,OK,Azure A1 2-2,text,true,404,7,7,http://azua1.test.itcrowd/db?queries=5,142
1443559562634,267,Hello json,200,OK,Azure A1 2-5,text,true,270,7,7,http://azua1.test.itcrowd/json,267
1443559562801,144,simple DB,200,OK,Azure A1 2-4,text,true,274,8,8,http://azua1.test.itcrowd/db,144
1443559562841,142,Multiple DB 5,200,OK,Azure A1 2-3,text,true,403,8,8,http://azua1.test.itcrowd/db?queries=5,142
1443559562734,268,Hello json,200,OK,Azure A1 2-6,text,true,270,8,8,http://azua1.test.itcrowd/json,268
1443559562902,148,simple DB,200,OK,Azure A1 2-5,text,true,274,9,9,http://azua1.test.itcrowd/db,148
1443559562946,139,Multiple DB 5,200,OK,Azure A1 2-4,text,true,402,9,9,http://azua1.test.itcrowd/db?queries=5,139
1443559562807,291,Multiple DB 50,200,OK,Azure A1 2-1,text,true,1836,9,9,http://azua1.test.itcrowd/db?queries=50,159
1443559562832,276,Hello json,200,OK,Azure A1 2-7,text,true,270,9,9,http://azua1.test.itcrowd/json,276
1443559563004,146,simple DB,200,OK,Azure A1 2-6,text,true,273,10,10,http://azua1.test.itcrowd/db,146
1443559562886,293,Multiple DB 50,200,OK,Azure A1 2-2,text,true,1827,10,10,http://azua1.test.itcrowd/db?queries=50,164
