Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Hello json,300,2413,1589,5672,6440,6866,255,7003,"33,00%","8,3","2,4"
simple DB,300,2073,715,6251,6575,6924,127,7283,"42,00%","7,1","2,1"
Multiple DB 5,300,2334,446,6485,6644,7082,127,7266,"44,33%","6,3","2,3"
Multiple DB 50,300,2529,495,6857,7175,7536,127,7818,"47,00%","5,7","6,3"
Multiple DB 500,300,2898,1409,7200,7581,7880,127,8159,"47,67%","5,1","42,5"
Fortunes,300,2892,1679,6900,7108,7399,127,7613,"46,33%","4,8","7,1"
Multiple DB update 500,300,3539,4390,7698,7927,8180,127,8303,"55,67%","4,6","33,5"
Multiple DB update 50,300,3017,3482,6991,7258,7574,127,7664,"51,00%","4,7","5,1"
Multiple DB update 5,300,2753,1128,6957,7309,7442,127,7652,"43,67%","5,0","1,8"
TOTAL,2700,2716,1409,6891,7273,7818,127,8303,"45,63%","36,8","84,4"
