Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Hello json,300,2582,1765,6306,8090,9210,263,10180,"30,67%","8,0","2,3"
simple DB,300,2315,1415,6619,7655,8909,131,9412,"40,33%","6,7","2,0"
Multiple DB 5,300,2435,456,7365,7940,9003,131,9971,"45,33%","5,8","2,1"
Multiple DB 50,300,2579,315,7468,8124,9717,131,10196,"49,00%","5,2","5,6"
Multiple DB 500,300,3004,152,8063,8526,9658,131,10645,"50,33%","4,6","36,7"
Fortunes,300,2827,530,7465,7963,8680,131,9099,"49,00%","4,4","6,2"
Multiple DB update 500,300,3543,2208,8736,9371,10335,132,10631,"59,33%","4,1","27,3"
Multiple DB update 50,300,3102,1785,7757,8196,9150,131,10253,"50,33%","4,1","4,4"
Multiple DB update 5,300,2693,714,7319,7946,8585,131,9383,"46,67%","4,2","1,5"
TOTAL,2700,2786,1157,7678,8223,9529,131,10645,"46,78%","35,2","76,4"
