Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Hello json,300,2874,2320,6810,7404,7928,254,7994,"28,00%","8,1","2,3"
simple DB,300,2639,1482,7632,8263,8968,127,9599,"39,67%","6,6","2,0"
Multiple DB 5,300,2372,139,7071,7901,8952,127,9582,"49,33%","5,8","2,1"
Multiple DB 50,300,2956,321,8274,9422,9698,127,10064,"48,67%","4,8","5,3"
Multiple DB 500,300,3693,1091,9261,10003,10324,127,10634,"48,00%","4,2","35,4"
Fortunes,300,3253,137,8407,8947,9544,126,9767,"51,00%","4,0","5,5"
Multiple DB update 500,300,4041,2390,9512,10017,10748,127,11062,"58,67%","3,6","24,4"
Multiple DB update 50,300,3576,1756,8708,9351,9933,127,10223,"50,67%","3,6","3,9"
Multiple DB update 5,300,3228,770,8151,8746,9481,127,10026,"45,33%","3,7","1,4"
TOTAL,2700,3181,1288,8393,9176,10079,126,11062,"46,59%","31,2","69,1"
