Hello json,300,1472,1569,2631,2707,2799,255,2831,"10,00%","9,2","2,5"
simple DB,300,1441,1508,2651,2961,3142,128,3189,"11,33%","8,6","2,4"
Multiple DB 5,300,1500,1615,2592,2680,3017,128,3143,"11,33%","8,1","3,1"
Multiple DB 50,300,1516,1636,2621,2705,3127,128,3231,"15,00%","7,6","12,0"
Multiple DB 500,300,1840,2026,2995,3143,3460,128,3565,"15,67%","7,1","95,0"
Fortunes,300,1620,1736,2634,2750,3168,128,3220,"14,33%","7,0","15,0"
Multiple DB update 500,300,2039,2171,3114,3277,3550,128,3698,"30,00%","6,8","75,7"
Multiple DB update 50,300,1719,1786,2705,2968,3139,127,3226,"21,00%","6,9","10,5"
Multiple DB update 5,300,1597,1701,2633,2710,3120,128,3206,"12,00%","6,9","2,7"
TOTAL,2700,1638,1724,2802,3009,3272,127,3698,"15,63%","57,1","197,4"
