Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Hello json,300,1946,2147,3391,3516,3703,324,3828,"12,00%","8,9","2,4"
simple DB,300,1666,1503,3253,3586,3846,163,4037,"21,33%","8,2","2,3"
Multiple DB 5,300,1853,2096,3434,3637,3851,162,4053,"19,67%","7,6","2,9"
Multiple DB 50,300,1807,2013,3441,3587,3975,162,4122,"26,00%","6,9","9,8"
Multiple DB 500,300,2283,2596,4065,4237,4342,163,4406,"25,00%","6,3","75,6"
Fortunes,300,2027,2375,3536,3742,3893,162,4014,"24,33%","6,2","11,8"
Multiple DB update 500,300,2321,2594,4072,4297,4499,163,4557,"42,33%","5,9","55,2"
Multiple DB update 50,300,2060,2244,3629,3749,3933,163,4132,"26,67%","6,0","8,5"
Multiple DB update 5,300,1885,1994,3585,3827,3977,162,4048,"24,00%","6,0","2,3"
TOTAL,2700,1983,2173,3690,3885,4287,162,4557,"24,59%","50,5","153,2"
